method,train_seconds,inference_seconds,inference_seconds_per_sample
baseline_frequency_topk,1.0000002248489182e-07,5.740000000287182e-05,8.441176471010562e-07
baseline_random_distribution,3.9999997625272954e-07,0.0001106000000277163,1.6264705886428868e-06
