method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
ollama_gemma3_27b_nomic_embed_rag,1,0.1908713692946058,0.10958938769608906,0.054106548279689234,0.04411764705882353,0.3382352941176471,0.14569964349376113,0.3382352941176471,,,68,53
ollama_gemma3_27b_nomic_embed_rag,3,0.24,0.13921546289967343,0.0790788013318535,0.0,0.22058823529411764,0.2568404634581105,0.47058823529411764,,,68,53
ollama_gemma3_27b_nomic_embed_rag,5,0.21473684210526317,0.14097550276265344,0.103496115427303,0.0,0.15,0.290530303030303,0.5,,,68,53
ollama_gemma3_27b_nomic_embed_rag,7,0.224,0.14218011164021443,0.1076581576026637,0.0,0.11764705882352941,0.3228832442067736,0.5294117647058824,,,68,53
ollama_gemma3_27b_nomic_embed_rag,10,0.22574257425742575,0.14186696751463967,0.10849056603773585,0.0,0.0838235294117647,0.3253342245989305,0.5294117647058824,,,68,53
