method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
ollama_deepseek_r1_70b_nomic_embed_rag,1,0.17721518987341772,0.09287141723323743,0.054106548279689234,0.04411764705882353,0.3088235294117647,0.1358957219251337,0.3088235294117647,,,68,53
ollama_deepseek_r1_70b_nomic_embed_rag,3,0.2314540059347181,0.13916017171360698,0.0718645948945616,0.014705882352941176,0.19117647058823528,0.2178698752228164,0.4264705882352941,,,68,53
ollama_deepseek_r1_70b_nomic_embed_rag,5,0.228287841191067,0.15411910817016256,0.08629300776914539,0.014705882352941176,0.13529411764705881,0.25660173160173155,0.4852941176470588,,,68,53
ollama_deepseek_r1_70b_nomic_embed_rag,7,0.22935779816513763,0.14646495221908504,0.0932297447280799,0.014705882352941176,0.10504201680672269,0.27351349630761396,0.4852941176470588,,,68,53
ollama_deepseek_r1_70b_nomic_embed_rag,10,0.23296703296703297,0.14402977017004934,0.09683684794672585,0.014705882352941176,0.07794117647058824,0.290670359052712,0.5,,,68,53
