method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
retrieval_only_nomic_embed_text,1,0.08264462809917356,0.04959636799259441,0.061598224195338516,0.014705882352941176,0.14705882352941177,0.04717023172905526,0.14705882352941177,,,68,53
retrieval_only_nomic_embed_text,3,0.1111111111111111,0.05785314697634344,0.0932297447280799,0.0,0.10294117647058823,0.10403934300993124,0.27941176470588236,,,68,53
retrieval_only_nomic_embed_text,5,0.09727626459143969,0.05079884393575257,0.12874583795782463,0.0,0.07352941176470588,0.13100012732365673,0.3382352941176471,,,68,53
retrieval_only_nomic_embed_text,7,0.13846153846153847,0.08970494706062832,0.15538290788013318,0.0,0.09453781512605042,0.2715527119938885,0.5294117647058824,,,68,53
retrieval_only_nomic_embed_text,10,0.15456674473067916,0.10915033151043836,0.20033296337402887,0.0,0.09705882352941177,0.37485039470333587,0.6029411764705882,,,68,53
