method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
retrieval_only_text_embedding_3_small,1,0.18181818181818182,0.10288799251063402,0.05493895671476138,0.014705882352941176,0.3235294117647059,0.13406862745098036,0.3235294117647059,,,68,53
retrieval_only_text_embedding_3_small,3,0.25396825396825395,0.16220262965545984,0.07824639289678136,0.0,0.23529411764705882,0.2807836771072065,0.5588235294117647,,,68,53
retrieval_only_text_embedding_3_small,5,0.2723735408560311,0.19388809564724435,0.10377358490566038,0.0,0.20588235294117646,0.39255474917239624,0.6176470588235294,,,68,53
retrieval_only_text_embedding_3_small,7,0.25846153846153846,0.21805819006001906,0.13374028856825748,0.0,0.17647058823529413,0.4717277820218996,0.7058823529411765,,,68,53
retrieval_only_text_embedding_3_small,10,0.23653395784543327,0.20477556006164674,0.18091009988901222,0.0,0.14852941176470588,0.5658517952635599,0.7794117647058824,,,68,53
