method,train_seconds,inference_seconds,inference_seconds_per_sample
baseline_frequency_topk,4.00003045797348e-07,5.1099981646984816e-05,7.51470318338012e-07
baseline_random_distribution,3.00002284348011e-07,0.00012159999459981918,1.7882352147032232e-06
