method,train_seconds,inference_seconds,inference_seconds_per_sample
baseline_frequency_topk,3.00002284348011e-07,4.630000330507755e-05,6.808824015452581e-07
baseline_random_distribution,2.00001522898674e-07,9.089999366551638e-05,1.336764612728182e-06
