method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
autogluon,1,0.1487603305785124,0.05065642717724695,0.05715871254162042,0.014705882352941176,0.2647058823529412,0.10539852304558188,0.2647058823529412,0.28375525245734823,29.323529411764707,68,53
autogluon,3,0.2222222222222222,0.12509916850757652,0.08157602663706992,0.0,0.20588235294117646,0.28089508530685003,0.45588235294117646,0.28375525245734823,29.323529411764707,68,53
autogluon,5,0.19066147859922178,0.13252177594094536,0.11542730299667037,0.0,0.14411764705882352,0.31654570919276803,0.5147058823529411,0.28375525245734823,29.323529411764707,68,53
autogluon,7,0.16307692307692306,0.13444176170174824,0.1509433962264151,0.0,0.11134453781512606,0.33307868601986246,0.5441176470588235,0.28375525245734823,29.323529411764707,68,53
autogluon,10,0.1358313817330211,0.13339555099718958,0.20477247502774695,0.0,0.08529411764705883,0.36606187929717343,0.5882352941176471,0.28375525245734823,29.323529411764707,68,53
