method,train_seconds,inference_seconds,inference_seconds_per_sample
baseline_frequency_topk,4.00003045797348e-07,7.419998291879892e-05,1.0911762193941018e-06
baseline_random_distribution,3.00002284348011e-07,9.689998114481568e-05,1.4249997227178777e-06
