method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
autogluon,1,0.10743801652892562,0.06479965909134144,0.05993340732519423,0.029411764705882353,0.19117647058823528,0.09153297682709448,0.19117647058823528,0.20420154839059068,30.544117647058822,68,53
autogluon,3,0.13756613756613756,0.10146488180251835,0.09045504994450611,0.0,0.12745098039215685,0.15183346065699005,0.3088235294117647,0.20420154839059068,30.544117647058822,68,53
autogluon,5,0.12062256809338522,0.11776222767671904,0.12541620421753608,0.0,0.09117647058823529,0.17166412019353197,0.3382352941176471,0.20420154839059068,30.544117647058822,68,53
autogluon,7,0.11076923076923077,0.11516944146797885,0.16037735849056603,0.0,0.07563025210084033,0.18945123503947034,0.36764705882352944,0.20420154839059068,30.544117647058822,68,53
autogluon,10,0.11241217798594848,0.13915967459156126,0.21032186459489458,0.0,0.07058823529411765,0.2779316271963331,0.5294117647058824,0.20420154839059068,30.544117647058822,68,53
