method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
flaml,1,0.2396694214876033,0.08266273926651285,0.051054384017758046,0.08823529411764706,0.4264705882352941,0.21299656226126815,0.4264705882352941,0.4459602772743012,30.75,68,53
flaml,3,0.3439153439153439,0.1746940868158383,0.06881243063263041,0.014705882352941176,0.31862745098039214,0.4215749936338172,0.6176470588235294,0.4459602772743012,30.75,68,53
flaml,5,0.3151750972762646,0.18510349963674852,0.097669256381798,0.0,0.23823529411764705,0.5043130888719124,0.6911764705882353,0.4459602772743012,30.75,68,53
flaml,7,0.27076923076923076,0.17651831546710253,0.13152053274139844,0.0,0.18487394957983194,0.5337312197606314,0.7352941176470589,0.4459602772743012,30.75,68,53
flaml,10,0.22482435597189696,0.16082949879141242,0.18368479467258603,0.0,0.1411764705882353,0.572679526355997,0.75,0.4459602772743012,30.75,68,53
