method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
xgb,1,0.2727272727272727,0.1187723544743493,0.048834628190899,0.058823529411764705,0.4852941176470588,0.2188789152024446,0.4852941176470588,0.46494268179506554,17.86764705882353,68,53
xgb,3,0.3544973544973545,0.18178857306215798,0.06770255271920089,0.0,0.3284313725490196,0.4091927680162974,0.6617647058823529,0.46494268179506554,17.86764705882353,68,53
xgb,5,0.33073929961089493,0.20792860541207783,0.09544950055493896,0.0,0.25,0.4983034122740005,0.75,0.46494268179506554,17.86764705882353,68,53
xgb,7,0.29846153846153844,0.20908187775557363,0.12652608213096558,0.0,0.20378151260504201,0.5768748408454291,0.8088235294117647,0.46494268179506554,17.86764705882353,68,53
xgb,10,0.2646370023419204,0.19567107084204308,0.17425083240843509,0.0,0.1661764705882353,0.6773650369238604,0.8676470588235294,0.46494268179506554,17.86764705882353,68,53
