method,train_seconds,inference_seconds,inference_seconds_per_sample
baseline_frequency_topk,3.00002284348011e-07,0.00017110002227127552,2.516176798106993e-06
baseline_random_distribution,2.00001522898674e-07,9.779998799785972e-05,1.438235117615584e-06
