method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
rf,1,0.19008264462809918,0.023080858234780774,0.05438401775804662,0.0,0.3382352941176471,0.1319741532976827,0.3382352941176471,0.3590924563873217,22.13235294117647,68,53
rf,3,0.24867724867724866,0.053312447286258516,0.07880133185349611,0.0,0.23039215686274508,0.29093773873185635,0.45588235294117646,0.3590924563873217,22.13235294117647,68,53
rf,5,0.23346303501945526,0.06112516150556715,0.10932297447280799,0.0,0.17647058823529413,0.37539152024446143,0.5294117647058824,0.3590924563873217,22.13235294117647,68,53
rf,7,0.23692307692307693,0.11363818079136201,0.13762486126526083,0.0,0.16176470588235295,0.47218296409472876,0.6470588235294118,0.3590924563873217,22.13235294117647,68,53
rf,10,0.2107728337236534,0.1145443624155331,0.18701442841287458,0.0,0.1323529411764706,0.5655653170359052,0.7647058823529411,0.3590924563873217,22.13235294117647,68,53
