method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
gb,1,0.21487603305785125,0.09234363782526643,0.05271920088790233,0.07352941176470588,0.38235294117647056,0.18859180035650625,0.38235294117647056,0.40282319769035324,21.220588235294116,68,53
gb,3,0.2698412698412698,0.11144096993153596,0.07658157602663707,0.0,0.25,0.3424083269671505,0.5441176470588235,0.40282319769035324,21.220588235294116,68,53
gb,5,0.2607003891050584,0.12390866482402203,0.10543840177580466,0.0,0.19705882352941176,0.44597975553857905,0.6764705882352942,0.40282319769035324,21.220588235294116,68,53
gb,7,0.23076923076923078,0.12385684531193353,0.13873473917869034,0.0,0.15756302521008403,0.5057836771072064,0.7352941176470589,0.40282319769035324,21.220588235294116,68,53
gb,10,0.20374707259953162,0.12351646354382109,0.18867924528301888,0.0,0.12794117647058822,0.5679335370511841,0.7647058823529411,0.40282319769035324,21.220588235294116,68,53
