method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
mlp,1,0.2809917355371901,0.12025008534442497,0.04827968923418424,0.08823529411764706,0.5,0.24338871912401328,0.5,0.48256078270668157,17.25,68,53
mlp,3,0.3492063492063492,0.15983988571210087,0.06825749167591565,0.0,0.3235294117647059,0.4294531448943214,0.6764705882352942,0.48256078270668157,17.25,68,53
mlp,5,0.29961089494163423,0.15926319236384076,0.09988901220865705,0.0,0.22647058823529412,0.5230805958747136,0.7647058823529411,0.48256078270668157,17.25,68,53
mlp,7,0.27076923076923076,0.17015985722881444,0.13152053274139844,0.0,0.18487394957983194,0.5804335370511842,0.7941176470588235,0.48256078270668157,17.25,68,53
mlp,10,0.2505854800936768,0.1852188097226508,0.17758046614872364,0.0,0.15735294117647058,0.6834861217214159,0.8235294117647058,0.48256078270668157,17.25,68,53
