method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
gb,1,0.18181818181818182,0.04144299085147926,0.05493895671476138,0.0,0.3235294117647059,0.12756238859180036,0.3235294117647059,0.3318321239261353,20.852941176470587,68,53
gb,3,0.24338624338624337,0.07161443193629653,0.07935627081021088,0.014705882352941176,0.22549019607843138,0.28701617010440533,0.5,0.3318321239261353,20.852941176470587,68,53
gb,5,0.23735408560311283,0.09715770802232944,0.10876803551609324,0.0,0.17941176470588235,0.38407499363381714,0.6176470588235294,0.3318321239261353,20.852941176470587,68,53
gb,7,0.23076923076923078,0.09873835477112537,0.13873473917869034,0.0,0.15756302521008403,0.4790393430099313,0.7058823529411765,0.3318321239261353,20.852941176470587,68,53
gb,10,0.20608899297423888,0.10037439156645216,0.1881243063263041,0.0,0.12941176470588237,0.5751241405653171,0.7941176470588235,0.3318321239261353,20.852941176470587,68,53
