method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
br_lr,1,0.0743801652892562,0.020444862502074918,0.06215316315205328,0.0,0.1323529411764706,0.057352941176470586,0.1323529411764706,0.21604276876364317,28.735294117647058,68,53
br_lr,3,0.13756613756613756,0.04174707862182772,0.09045504994450611,0.0,0.12745098039215685,0.17745098039215687,0.29411764705882354,0.21604276876364317,28.735294117647058,68,53
br_lr,5,0.13229571984435798,0.04687778955552242,0.12375138734739179,0.0,0.1,0.21702317290552586,0.38235294117647056,0.21604276876364317,28.735294117647058,68,53
br_lr,7,0.12615384615384614,0.05700413099254769,0.15760266370699222,0.0,0.0861344537815126,0.24899732620320852,0.4264705882352941,0.21604276876364317,28.735294117647058,68,53
br_lr,10,0.13348946135831383,0.08072221468544838,0.20532741398446172,0.0,0.0838235294117647,0.35243506493506493,0.5441176470588235,0.21604276876364317,28.735294117647058,68,53
