method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
mlp,1,0.19008264462809918,0.06438442607433584,0.05438401775804662,0.029411764705882353,0.3382352941176471,0.14510440539852304,0.3382352941176471,0.3667564988445829,21.58823529411765,68,53
mlp,3,0.2698412698412698,0.10115070686416534,0.07658157602663707,0.0,0.25,0.3070155334861217,0.4852941176470588,0.3667564988445829,21.58823529411765,68,53
mlp,5,0.26848249027237353,0.13508002961407226,0.10432852386237514,0.0,0.20294117647058824,0.4290743570155334,0.6323529411764706,0.3667564988445829,21.58823529411765,68,53
mlp,7,0.24,0.12423481480085255,0.13706992230854606,0.0,0.1638655462184874,0.47662337662337656,0.6764705882352942,0.3667564988445829,21.58823529411765,68,53
mlp,10,0.2224824355971897,0.13042776533684838,0.18423973362930077,0.0,0.13970588235294118,0.6011108989050166,0.7794117647058824,0.3667564988445829,21.58823529411765,68,53
