method,train_seconds,inference_seconds,inference_seconds_per_sample
baseline_frequency_topk,1.00000761449337e-07,4.1000021155923605e-05,6.029414875871118e-07
baseline_random_distribution,4.00003045797348e-07,8.229998638853431e-05,1.2102939174784456e-06
