method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
mlp,1,0.17355371900826447,0.009433962264150943,0.05549389567147614,0.0,0.3088235294117647,0.12769607843137254,0.3088235294117647,0.33162765261022087,23.308823529411764,68,53
mlp,3,0.23809523809523808,0.026974556691537824,0.07991120976692564,0.0,0.22058823529411764,0.2753915202444614,0.4411764705882353,0.33162765261022087,23.308823529411764,68,53
mlp,5,0.2178988326848249,0.03462191754867698,0.11154273029966703,0.014705882352941176,0.16470588235294117,0.3430385790679908,0.5294117647058824,0.33162765261022087,23.308823529411764,68,53
mlp,7,0.20615384615384616,0.043045266524441704,0.14317425083240842,0.0,0.1407563025210084,0.4132480264833206,0.6029411764705882,0.33162765261022087,23.308823529411764,68,53
mlp,10,0.1873536299765808,0.05916444669699859,0.1925638179800222,0.0,0.11764705882352941,0.49242105933282393,0.6911764705882353,0.33162765261022087,23.308823529411764,68,53
