method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
xgb,1,0.2231404958677686,0.08023768684146042,0.05216426193118757,0.04411764705882353,0.39705882352941174,0.18614081996434936,0.39705882352941174,0.3711356170117227,25.220588235294116,68,53
xgb,3,0.2751322751322751,0.1274411870521824,0.07602663706992231,0.0,0.2549019607843137,0.3644385026737968,0.5588235294117647,0.3711356170117227,25.220588235294116,68,53
xgb,5,0.22957198443579765,0.11609513094601348,0.10987791342952276,0.0,0.17352941176470588,0.40967659791189204,0.6323529411764706,0.3711356170117227,25.220588235294116,68,53
xgb,7,0.19384615384615383,0.10802651034954927,0.1453940066592675,0.0,0.1323529411764706,0.44031385281385277,0.6617647058823529,0.3711356170117227,25.220588235294116,68,53
xgb,10,0.17330210772833723,0.11693473856070971,0.19589345172031078,0.0,0.10882352941176471,0.48688884644766994,0.7058823529411765,0.3711356170117227,25.220588235294116,68,53
