method,k,micro_f1,macro_f1,hamming_loss,subset_accuracy,precision_at_k,recall_at_k,partial_hit_at_k,lrap,coverage_error,n_samples,n_labels
xgb,1,0.19834710743801653,0.05590949930572572,0.05382907880133185,0.04411764705882353,0.35294117647058826,0.16187611408199643,0.35294117647058826,0.32942153497113524,23.63235294117647,68,53
xgb,3,0.2222222222222222,0.09587078142705989,0.08157602663706992,0.0,0.20588235294117646,0.27399732620320855,0.4852941176470588,0.32942153497113524,23.63235294117647,68,53
xgb,5,0.2140077821011673,0.12288680864951215,0.1120976692563818,0.0,0.16176470588235295,0.33366755793226377,0.5588235294117647,0.32942153497113524,23.63235294117647,68,53
xgb,7,0.18461538461538463,0.11409153973726921,0.14705882352941177,0.0,0.12605042016806722,0.37043226381461675,0.6176470588235294,0.32942153497113524,23.63235294117647,68,53
xgb,10,0.1756440281030445,0.11883568208214093,0.195338512763596,0.0,0.11029411764705882,0.4590590781767252,0.7205882352941176,0.32942153497113524,23.63235294117647,68,53
