courseId,courseName,courseDescription,courseHours,comp_id,comp_name,comp_description,cat_id,cat_name,tax_id,tax_name
6df06e3b-de96-4e28-94cd-0b94de5e9c48,Ambiente de Capacitação PNP,"O curso foi organizado para os três perfis de usuários da Plataforma Nilo Peçanha, são eles: o pesquisador institucional (PI), o responsável pelo registro acadêmico (RA) e o responsável pela gestão de pessoas (GP). De acordo com o seu papel, acesse as seções correspondentes. Esta formação foi estruturada com a mesma lógica da plataforma, de forma que, em cada seção, além de textos, você encontra vídeos tutoriais explicativos das atividades que deverão ser realizadas.
Esta capacitação é autodirigida, ou seja, você não terá um professor acompanhando suas ações no ambiente! Assim, para realizar esta formação, você só precisa acessar as seções, ler os materiais disponíveis e assistir aos vídeos tutoriais. Para finalizar, realize a atividade obrigatória para obter a certificação da Capacitação 2025 da Plataforma Nilo Peçanha. ",20,4667ae96-35b0-435a-87f5-e21af9c1086d,Resolução de problemas com base em dados,"Capacidade de idear soluções inovadoras e efetivas para problemas de baixa, média ou elevada complexidade com a utilização de dados (numéricos e não numéricos) e evidências que aumentem a precisão e viabilidade das soluções.",27ccdc3f-64d6-4748-960b-171e9c804d23,Transversais,7b16819f-cb8a-406d-9ab9-a335a50143cb,Aplicar
6df06e3b-de96-4e28-94cd-0b94de5e9c48,Ambiente de Capacitação PNP,"O curso foi organizado para os três perfis de usuários da Plataforma Nilo Peçanha, são eles: o pesquisador institucional (PI), o responsável pelo registro acadêmico (RA) e o responsável pela gestão de pessoas (GP). De acordo com o seu papel, acesse as seções correspondentes. Esta formação foi estruturada com a mesma lógica da plataforma, de forma que, em cada seção, além de textos, você encontra vídeos tutoriais explicativos das atividades que deverão ser realizadas.
Esta capacitação é autodirigida, ou seja, você não terá um professor acompanhando suas ações no ambiente! Assim, para realizar esta formação, você só precisa acessar as seções, ler os materiais disponíveis e assistir aos vídeos tutoriais. Para finalizar, realize a atividade obrigatória para obter a certificação da Capacitação 2025 da Plataforma Nilo Peçanha. ",20,494c1fac-1723-4cfb-b8ee-4e6472ae59c7,Melhoria contínua de processos,"Propor e introduzir ações para acelerar a melhoria contínua e a produtividade das tarefas sob sua responsabilidade, em atenção aos requisitos de qualidade.",e23d3b1c-ee83-4b09-b141-fc0f9dc7ab57,Processos de Melhoria,85f646ca-67c5-439c-8cc1-df4fed9e0ae7,Lembrar
6df06e3b-de96-4e28-94cd-0b94de5e9c48,Ambiente de Capacitação PNP,"O curso foi organizado para os três perfis de usuários da Plataforma Nilo Peçanha, são eles: o pesquisador institucional (PI), o responsável pelo registro acadêmico (RA) e o responsável pela gestão de pessoas (GP). De acordo com o seu papel, acesse as seções correspondentes. Esta formação foi estruturada com a mesma lógica da plataforma, de forma que, em cada seção, além de textos, você encontra vídeos tutoriais explicativos das atividades que deverão ser realizadas.
Esta capacitação é autodirigida, ou seja, você não terá um professor acompanhando suas ações no ambiente! Assim, para realizar esta formação, você só precisa acessar as seções, ler os materiais disponíveis e assistir aos vídeos tutoriais. Para finalizar, realize a atividade obrigatória para obter a certificação da Capacitação 2025 da Plataforma Nilo Peçanha. ",20,494c1fac-1723-4cfb-b8ee-4e6472ae59c7,Melhoria contínua de processos,"Propor e introduzir ações para acelerar a melhoria contínua e a produtividade das tarefas sob sua responsabilidade, em atenção aos requisitos de qualidade.",e23d3b1c-ee83-4b09-b141-fc0f9dc7ab57,Processos de Melhoria,6152c8bb-1632-42f0-9599-919b6bf15ecb,Entender
6df06e3b-de96-4e28-94cd-0b94de5e9c48,Ambiente de Capacitação PNP,"O curso foi organizado para os três perfis de usuários da Plataforma Nilo Peçanha, são eles: o pesquisador institucional (PI), o responsável pelo registro acadêmico (RA) e o responsável pela gestão de pessoas (GP). De acordo com o seu papel, acesse as seções correspondentes. Esta formação foi estruturada com a mesma lógica da plataforma, de forma que, em cada seção, além de textos, você encontra vídeos tutoriais explicativos das atividades que deverão ser realizadas.
Esta capacitação é autodirigida, ou seja, você não terá um professor acompanhando suas ações no ambiente! Assim, para realizar esta formação, você só precisa acessar as seções, ler os materiais disponíveis e assistir aos vídeos tutoriais. Para finalizar, realize a atividade obrigatória para obter a certificação da Capacitação 2025 da Plataforma Nilo Peçanha. ",20,494c1fac-1723-4cfb-b8ee-4e6472ae59c7,Melhoria contínua de processos,"Propor e introduzir ações para acelerar a melhoria contínua e a produtividade das tarefas sob sua responsabilidade, em atenção aos requisitos de qualidade.",e23d3b1c-ee83-4b09-b141-fc0f9dc7ab57,Processos de Melhoria,7b16819f-cb8a-406d-9ab9-a335a50143cb,Aplicar
1175549d-9719-4349-a765-9ca8130aeb6e,Ambientes Digitais de Aprendizagem,"O Curso tem por objetivo apresentar as principais características, funcionalidades e limitações existentes nos ambientes digitais de aprendizagem, contribuindo para a tomada de decisão tanto para a escolha do AVA mais adequado quanto para escolhas de desenho instrucional.",30,e4f31519-2fad-4fe8-b476-5da4715a16e9,Ensino,"Planificar e implementar dispositivos e recursos digitais no processo de ensino, de modo a melhorar a eficácia das intervenções pedagógicas. Gerir e orquestrar  adequadamente estratégias de ensino digital. Experimentar e desenvolver novos formatos e métodos pedagógicos para o ensino.",cac54f5d-834c-499c-bf8d-e549fa3828af,Ensino e Aprendizagem,85f646ca-67c5-439c-8cc1-df4fed9e0ae7,Lembrar
1175549d-9719-4349-a765-9ca8130aeb6e,Ambientes Digitais de Aprendizagem,"O Curso tem por objetivo apresentar as principais características, funcionalidades e limitações existentes nos ambientes digitais de aprendizagem, contribuindo para a tomada de decisão tanto para a escolha do AVA mais adequado quanto para escolhas de desenho instrucional.",30,e4f31519-2fad-4fe8-b476-5da4715a16e9,Ensino,"Planificar e implementar dispositivos e recursos digitais no processo de ensino, de modo a melhorar a eficácia das intervenções pedagógicas. Gerir e orquestrar  adequadamente estratégias de ensino digital. Experimentar e desenvolver novos formatos e métodos pedagógicos para o ensino.",cac54f5d-834c-499c-bf8d-e549fa3828af,Ensino e Aprendizagem,6152c8bb-1632-42f0-9599-919b6bf15ecb,Entender
1175549d-9719-4349-a765-9ca8130aeb6e,Ambientes Digitais de Aprendizagem,"O Curso tem por objetivo apresentar as principais características, funcionalidades e limitações existentes nos ambientes digitais de aprendizagem, contribuindo para a tomada de decisão tanto para a escolha do AVA mais adequado quanto para escolhas de desenho instrucional.",30,e4f31519-2fad-4fe8-b476-5da4715a16e9,Ensino,"Planificar e implementar dispositivos e recursos digitais no processo de ensino, de modo a melhorar a eficácia das intervenções pedagógicas. Gerir e orquestrar  adequadamente estratégias de ensino digital. Experimentar e desenvolver novos formatos e métodos pedagógicos para o ensino.",cac54f5d-834c-499c-bf8d-e549fa3828af,Ensino e Aprendizagem,7b16819f-cb8a-406d-9ab9-a335a50143cb,Aplicar
1175549d-9719-4349-a765-9ca8130aeb6e,Ambientes Digitais de Aprendizagem,"O Curso tem por objetivo apresentar as principais características, funcionalidades e limitações existentes nos ambientes digitais de aprendizagem, contribuindo para a tomada de decisão tanto para a escolha do AVA mais adequado quanto para escolhas de desenho instrucional.",30,0accb9d5-dbd1-483f-ab2a-ee0ca1c22de4,Planejamento,"Identificar problemas prioritários e oportunidades de sua unidade para projetar planos, programas ou projetos que prefixam objetivos, atividades, recursos, custos, cronogramas, responsáveis e indicadores de progresso, resultados e impacto.",b47333be-1c80-40a9-a93d-9bbc4d7e4677,Gestão de Resultados,85f646ca-67c5-439c-8cc1-df4fed9e0ae7,Lembrar
1175549d-9719-4349-a765-9ca8130aeb6e,Ambientes Digitais de Aprendizagem,"O Curso tem por objetivo apresentar as principais características, funcionalidades e limitações existentes nos ambientes digitais de aprendizagem, contribuindo para a tomada de decisão tanto para a escolha do AVA mais adequado quanto para escolhas de desenho instrucional.",30,0accb9d5-dbd1-483f-ab2a-ee0ca1c22de4,Planejamento,"Identificar problemas prioritários e oportunidades de sua unidade para projetar planos, programas ou projetos que prefixam objetivos, atividades, recursos, custos, cronogramas, responsáveis e indicadores de progresso, resultados e impacto.",b47333be-1c80-40a9-a93d-9bbc4d7e4677,Gestão de Resultados,6152c8bb-1632-42f0-9599-919b6bf15ecb,Entender
1175549d-9719-4349-a765-9ca8130aeb6e,Ambientes Digitais de Aprendizagem,"O Curso tem por objetivo apresentar as principais características, funcionalidades e limitações existentes nos ambientes digitais de aprendizagem, contribuindo para a tomada de decisão tanto para a escolha do AVA mais adequado quanto para escolhas de desenho instrucional.",30,0accb9d5-dbd1-483f-ab2a-ee0ca1c22de4,Planejamento,"Identificar problemas prioritários e oportunidades de sua unidade para projetar planos, programas ou projetos que prefixam objetivos, atividades, recursos, custos, cronogramas, responsáveis e indicadores de progresso, resultados e impacto.",b47333be-1c80-40a9-a93d-9bbc4d7e4677,Gestão de Resultados,7b16819f-cb8a-406d-9ab9-a335a50143cb,Aplicar
